# t 	 Sigma_L 	 Sigma_R 	 ILR 
1.556	1.1600000000000001	1.780000000000001	-0.031142150267461782
1.557	1.1600000000000001	1.780000000000001	-0.03090385386021617
1.558	1.1600000000000001	1.780000000000001	-0.030662198838320914
1.559	1.1600000000000001	1.780000000000001	-0.03041718520177593
1.56	1.1600000000000001	1.800000000000001	-0.043598731702925754
1.561	1.1600000000000001	1.800000000000001	-0.04335552033933129
1.562	1.1600000000000001	1.800000000000001	-0.043109273377965225
1.563	1.1600000000000001	1.800000000000001	-0.042859990818827604
1.564	1.1600000000000001	1.800000000000001	-0.04260767266191846
1.565	1.1600000000000001	1.800000000000001	-0.04235231890723771
1.566	1.1600000000000001	1.800000000000001	-0.04209392955478537
1.567	1.1600000000000001	1.800000000000001	-0.041832504604561546
1.568	1.1600000000000001	1.800000000000001	-0.04156804405656605
1.569	1.1600000000000001	1.800000000000001	-0.04130054791079907
1.57	1.1600000000000001	1.800000000000001	-0.04103001616726042
1.571	1.1600000000000001	1.800000000000001	-0.040756448825950344
1.572	1.1600000000000001	1.800000000000001	-0.04047984588686856
1.573	1.1600000000000001	1.800000000000001	-0.04020020735001528
1.574	1.1600000000000001	1.800000000000001	-0.039917533215390405
1.575	1.1600000000000001	1.800000000000001	-0.039631823482994016
1.576	1.1600000000000001	1.800000000000001	-0.039343078152826026
1.577	1.1600000000000001	1.800000000000001	-0.03905129722488643
1.578	1.1600000000000001	1.800000000000001	-0.03875648069917534
1.579	1.1600000000000001	1.800000000000001	-0.03845862857569261
1.58	1.1600000000000001	1.800000000000001	-0.038157740854438287
1.581	1.1600000000000001	1.800000000000001	-0.037853817535412546
1.582	1.1600000000000001	1.800000000000001	-0.037546858618615106
1.583	1.1600000000000001	1.800000000000001	-0.0372368641040462
1.584	1.1600000000000001	1.800000000000001	-0.036923833991705554
1.585	1.1600000000000001	1.800000000000001	-0.03660776828159351
1.586	1.1600000000000001	1.820000000000001	-0.06501556378012872
1.587	1.1600000000000001	1.820000000000001	-0.06478252498052353
1.588	1.1600000000000001	1.820000000000001	-0.06454677360002486
1.589	1.1600000000000001	1.820000000000001	-0.06430830963863275
1.59	1.1600000000000001	1.820000000000001	-0.0640671330963472
1.591	1.1600000000000001	1.820000000000001	-0.06382324397316824
1.592	1.1600000000000001	1.820000000000001	-0.0635766422690959
1.593	1.1600000000000001	1.820000000000001	-0.06332732798413013
1.594	1.1600000000000001	1.820000000000001	-0.06307530111827087
1.595	1.1600000000000001	1.820000000000001	-0.06282056167151817
1.596	1.1600000000000001	1.820000000000001	-0.06256310964387207
1.597	1.1600000000000001	1.820000000000001	-0.06230294503533257
1.598	1.1600000000000001	1.820000000000001	-0.06204006784589965
1.599	1.1600000000000001	1.820000000000001	-0.061774478075573326
1.6	1.1600000000000001	1.820000000000001	-0.06150617572435355
1.601	1.1600000000000001	1.820000000000001	-0.06123516079224027
1.602	1.1600000000000001	1.820000000000001	-0.060961433279233715
1.603	1.1600000000000001	1.820000000000001	-0.06068499318533359
1.604	1.1600000000000001	1.820000000000001	-0.06040584051054016
1.605	1.1600000000000001	1.820000000000001	-0.0601239752548532
1.606	1.1600000000000001	1.820000000000001	-0.05983939741827295
1.607	1.1600000000000001	1.820000000000001	-0.05955210700079917
1.608	1.1600000000000001	1.820000000000001	-0.059262104002431946
1.609	1.1600000000000001	1.820000000000001	-0.058969388423171336
1.61	1.1600000000000001	1.820000000000001	-0.05867396026301732
1.611	1.1600000000000001	1.820000000000001	-0.0583758195219698
1.612	1.1600000000000001	1.840000000000001	-0.011346204847388665
1.613	1.1600000000000001	1.840000000000001	-0.011032262384578245
1.614	1.1600000000000001	1.840000000000001	-0.010715930357752528
1.615	1.1600000000000001	1.840000000000001	-0.010397208766911595
1.616	1.1600000000000001	1.840000000000001	-0.010076097612055405
1.617	1.1600000000000001	1.840000000000001	-0.00975259689318389
