# t 	 SC 	 SH 	 IHC 
2.669	4.064999999999993	9.620000000000001	-0.2867599565830812
2.67	4.064999999999993	9.620000000000001	-0.2869752223190921
2.6710000000000003	4.064999999999993	9.620000000000001	-0.2871794085640433
2.672	4.064999999999993	9.625000000000002	-0.28414351915397645
2.673	4.064999999999993	9.625000000000002	-0.2844062198571001
2.674	4.069999999999993	9.625000000000002	-0.2683775123724181
2.6750000000000003	4.069999999999993	9.63	-0.2533475360455411
2.676	4.079999999999993	9.63	-0.215796581680548
2.677	4.079999999999993	9.635000000000002	-0.22460293255791547
2.678	4.079999999999993	9.640000000000002	-0.220951895582403
2.6790000000000003	4.079999999999993	9.640000000000002	-0.22127472554255742
2.68	4.079999999999993	9.640000000000002	-0.2215859311186495
2.681	4.079999999999993	9.645000000000001	-0.21728675443577442
2.682	4.089999999999993	9.645000000000001	-0.21713827027733867
2.6830000000000003	4.089999999999993	9.645000000000001	-0.21756272886250658
2.684	4.089999999999993	9.645000000000001	-0.21797538143261017
2.685	4.089999999999993	9.645000000000001	-0.2183762279876499
2.686	4.089999999999993	9.650000000000002	-0.21193810342165412
2.6870000000000003	4.089999999999993	9.650000000000002	-0.2123858571537267
2.688	4.089999999999993	9.650000000000002	-0.2128219865017364
2.689	4.089999999999993	9.655000000000001	-0.19921257311752485
2.69	4.089999999999993	9.660000000000002	-0.19839516558169662
2.691	4.089999999999993	9.660000000000002	-0.19873610140248082
2.692	4.089999999999993	9.665000000000003	-0.20231525229203745
2.693	4.089999999999993	9.665000000000003	-0.20256730822172916
2.694	4.094999999999993	9.665000000000003	-0.19734501133571394
2.695	4.094999999999993	9.670000000000002	-0.20023112882008448
2.696	4.094999999999993	9.675	-0.2014972445298574
2.697	4.0999999999999925	9.680000000000001	-0.19059680104532278
2.698	4.0999999999999925	9.680000000000001	-0.1906635994726084
2.699	4.0999999999999925	9.685	-0.20758222856843747
2.7	4.0999999999999925	9.695000000000002	-0.21237569660634245
2.701	4.0999999999999925	9.695000000000002	-0.2125011473224569
2.702	4.104999999999992	9.695000000000002	-0.23443311195038358
2.703	4.114999999999992	9.695000000000002	-0.2029533568658784
2.704	4.114999999999992	9.695000000000002	-0.20307451186890815
2.705	4.124999999999992	9.700000000000001	-0.1729238790094611
2.706	4.124999999999992	9.715	-0.18790193998157925
2.707	4.124999999999992	9.72	-0.18274453310399585
2.708	4.129999999999992	9.72	-0.19844657566521984
2.709	4.129999999999992	9.725	-0.19740416627619722
2.71	4.129999999999992	9.725	-0.19756841351262458
2.711	4.129999999999992	9.725	-0.19772230778199604
2.712	4.129999999999992	9.729999999999999	-0.18046150534033928
2.713	4.129999999999992	9.729999999999999	-0.18062171543560918
2.714	4.134999999999992	9.744999999999997	-0.16382541332196185
2.715	4.134999999999992	9.749999999999998	-0.18213789309233494
2.716	4.134999999999992	9.754999999999997	-0.16721977534156288
2.717	4.134999999999992	9.759999999999998	-0.16327082149987798
2.718	4.134999999999992	9.759999999999998	-0.16342093566321061
2.719	4.139999999999993	9.764999999999997	-0.1765807688036491
2.72	4.139999999999993	9.764999999999997	-0.17667645585999195
2.721	4.139999999999993	9.764999999999997	-0.17676215321128091
2.722	4.139999999999993	9.764999999999997	-0.1768378608575157
2.723	4.139999999999993	9.769999999999998	-0.19390736818167248
2.724	4.139999999999993	9.769999999999998	-0.19394596117542623
2.725	4.139999999999993	9.769999999999998	-0.19397474609512746
2.726	4.1449999999999925	9.769999999999998	-0.1831243777509621
2.727	4.1449999999999925	9.774999999999997	-0.18400373038324394
2.728	4.1449999999999925	9.774999999999997	-0.1841790963361119
2.729	4.1449999999999925	9.774999999999997	-0.18434501747692844
2.73	4.149999999999993	9.789999999999996	-0.19633085913264695
2.731	4.149999999999993	9.799999999999995	-0.19488719992004855
2.732	4.149999999999993	9.809999999999993	-0.2090353526141785
2.733	4.149999999999993	9.814999999999994	-0.21859396113017407
2.734	4.154999999999993	9.814999999999994	-0.23574157104874882
2.735	4.164999999999994	9.819999999999993	-0.2637716487783485
2.736	4.169999999999994	9.819999999999993	-0.24870749867979683
2.737	4.174999999999994	9.824999999999994	-0.2558914166566572
2.738	4.174999999999994	9.839999999999995	-0.2593716686668376
2.739	4.1799999999999935	9.839999999999995	-0.2517539187104856
2.74	4.1799999999999935	9.839999999999995	-0.25198510679655844
