# t 	 IC 	 IH 	 IHC 
4.956	16.557448627539088	20.72324277842876	7.126489632355706
4.957	16.555043394329388	20.719576449845142	7.12256259646048
4.958	16.55237356149166	20.68550424543835	7.089031017820287
4.9590000000000005	16.60936577247991	20.728512100517285	7.080917844208732
4.96	16.676945520749015	20.724875783921355	7.098482639942538
4.961	16.67416802501955	20.80645141102931	7.063980282482195
4.962	16.678778059037953	20.802968858254115	7.065587106550728
4.963	16.646815185132795	20.80254203735281	7.049529589951287
4.964	16.643803614221657	20.818032765646652	7.0386030365665
4.965	16.639956099396638	20.82407865282341	7.033150351955837
4.966	16.637014979907452	20.85893501000489	7.035606039893378
4.9670000000000005	16.634083660129367	20.854887103355285	7.031477982324037
4.968	16.631162122238745	20.850865832720228	7.027361723367196
4.969	16.628178861874325	20.856403773807234	7.011334864342678
4.97	16.62520526199868	20.852389796607167	7.007236740074503
4.971	16.606032239353585	20.84826315720519	6.991523026657974
4.972	16.61232196971271	20.844580322042155	6.953256673078739
4.973	16.60948351979066	20.88487256484981	6.9795407975822705
4.974	16.606654843434754	20.881224287581297	6.975493814602488
4.9750000000000005	16.60383582813541	20.877602265474053	6.971458395680245
4.976	16.601026482741563	20.87400648693479	6.96743456195715
4.977	16.598383014065167	20.933431932937886	6.98958873116741
4.978	16.595749246349452	20.92989668663362	6.985701143187624
4.979	16.5932962828035	20.987006697755394	7.0104916481236055
4.98	16.590852957844547	20.983529314777158	7.006738999167221
4.981	16.588419166909205	20.980077896684584	7.002997681473404
4.982	16.58604481664854	21.070714480608487	6.968798187290862
4.9830000000000005	16.570490735459035	21.067064512008212	6.975568514251937
4.984	16.57619261479856	20.993757712648318	6.980496373454896
4.985	16.593727893674536	20.98656512791954	6.986174046886896
4.986	16.62761151550701	20.952132125207616	6.982061732734296
4.987	16.625363678028883	21.052630314302238	6.948012846053126
4.988	16.613892584833962	21.050439932403496	6.939834913866989
4.989	16.611742504669255	21.08221131625421	6.951938189887047
4.99	16.60741007755548	21.160371177990033	6.9873644580605205
4.9910000000000005	16.611847984698347	21.11870411291325	6.952981506371539
4.992	16.60936571502207	21.115492164331815	6.949261490127319
4.993	16.606893014760956	21.112307681667268	6.9455533246484356
4.994	16.589392649613803	21.12128055302396	6.9292762945446595
4.995	16.58693356218392	21.048255930418772	6.93620054682273
4.996	16.58448405617283	21.044748953657137	6.932317686889554
4.997	16.582044096262162	21.04126903749697	6.928446576833096
4.998	16.560725253531473	21.038095910342392	6.92544806042945
4.999	16.580916336624213	21.03496849473205	6.945212909744992
5.0	16.57460592472969	21.031990031144556	6.951632518632588
5.001	16.57216495725168	21.02903829180958	6.9479286084318
5.002	16.569733442096172	21.026113183249716	6.944236321841767
5.003	16.567448924599077	21.087066438585232	6.963608681475674
5.0040000000000004	16.565173875234784	21.08420349992292	6.9600508546465445
5.005	16.509184446967723	21.194805110156228	6.938591749646314
5.006	16.507017240450775	21.192398414601755	6.934798099879237
5.007	16.512769964639652	21.242125096111586	6.9593892122947905
5.008	16.510821265911076	21.239364901391095	6.955497681654985
5.009	16.508759840360266	21.288042301898045	6.931261695538546
5.01	16.50679514127304	21.32159946073228	6.942052436863817
5.011	16.484253057131813	21.319202520780475	6.99438306583575
5.0120000000000005	16.482314654603137	21.316471198283228	6.990785556227063
5.013	16.480385793862716	21.313765930687783	6.987199951061012
5.014	16.478466483028047	21.31108670266323	6.983626273170687
5.015	16.44782046089041	21.308795692838512	7.01011577636462
5.016	16.5323778346233	21.30705576708278	7.050455641142602
5.017	16.530495352723126	21.305341455452524	7.047135626716636
5.018	16.52862235082173	21.303652389349228	7.043827266242782
5.019	16.526758836378043	21.301988549404673	7.0405305812619225
5.0200000000000005	16.54717603174025	21.310198992921983	7.090701795169027
5.021	16.545413022246564	21.30804182219571	7.087358830088854
5.022	16.54365950570034	21.305910254902862	7.084027697383976
5.023	16.529703146826584	21.315935981829906	7.076611105347379
5.024	16.52945702120342	21.266505981053356	7.069781691762989
5.025	16.527752998220905	21.26459845777148	7.066577473536124
5.026	16.52452713454662	21.262450674169745	7.066853645438682
5.027	16.522775616378855	21.279897194788454	7.05715614265903
5.0280000000000005	16.5636651214813	21.328938819539214	7.049823021329503
5.029	16.48100736352692	21.314754611666068	7.054819936828172
5.03	16.478477795588525	21.31221538804358	7.051162263736844
5.031	16.47595800561209	21.30970141154161	7.047515583850988
5.032	16.45212368301356	21.315598382138056	7.037558155389774
5.033	16.463491735224082	21.31583192721287	7.07550101895966
5.034	16.46102897882452	21.31322448459836	7.0717741929627564
5.035	16.45857592679639	21.31064126460323	7.06805780270682
5.0360000000000005	16.456132589822957	21.308082251099886	7.064351868529654
5.037	16.437887280971083	21.305263286148882	7.036965944753311
5.038	16.436525949754323	21.44187252788862	7.031951090336396
5.039	16.43421092167593	21.37919550707636	7.015701931520111
5.04	16.431905405272712	21.376228098109912	7.011956263984843
5.041	16.42960946171807	21.3732841373542	7.0082206636538436
5.042	16.427295799758795	21.35858925377504	6.999920282324843
5.043	16.465758996903297	21.355494588067803	6.985473555346696
5.0440000000000005	16.460143684538128	21.407181471394825	7.018508508030849
5.045	16.457717972248513	21.40383292923282	7.014709229241588
5.046	16.481726349769986	21.347176504925052	7.044608909474614
5.047	16.479252405306934	21.343686581519655	7.040817828534976
5.048	16.47678809070107	21.34022125046972	7.0370371389434805
5.049	16.474275487032774	21.286090813122254	7.023521578059846
5.05	16.47177240453146	21.282567833614127	7.019668244150858
5.051	16.469278892021055	21.27906929947366	7.015825183163142
5.0520000000000005	16.46679495971893	21.27559519819816	7.011992416040102
5.053	16.464320617843825	21.272145517160766	7.008169963775863
5.054	16.46185587661555	21.26872024361021	7.0043578474147274
5.055	16.459382973831243	21.37780803119852	7.017512139386305
5.056	16.48127175064559	21.38457438247035	6.9958931394162835
5.057	16.467635628394312	21.474680248634566	7.036216534685445
5.058	16.4647423174812	21.470977814105485	7.031959224658836
5.059	16.50930367480357	21.47954271793425	7.030987644827499
5.0600000000000005	16.506604852243342	21.476204683323168	7.0269394817738835
5.061	16.49376324753671	21.57065663813161	7.060565226140028
5.062	16.490863153276923	21.56726165160821	7.056543212205717
5.063	16.487972815346968	21.563890800475296	7.0525316862271445
5.064	16.484903885459357	21.680330564908544	7.017270160550917
5.065	16.481844512824217	21.677073408253154	7.013419672614939
5.066	16.478794831219226	21.673840231870635	7.009579541418791
5.067	16.475754848822998	21.67063102310947	7.0057497837465785
5.0680000000000005	16.605262465178676	21.805049323418583	7.145142646670993
5.069	16.63889343204443	21.801900390882142	7.166393203861564
5.07	16.71202978616104	21.798015789189567	7.183037529634777
5.071	16.707930431717877	21.814754722686292	7.2242175370712065
5.072	16.704725412213623	21.816869923115508	7.223435093799461
5.073	16.701530043032847	21.81328156933649	7.2191455856768405
5.074	16.727616182789323	21.782788744001326	7.205112387476321
5.075	16.72416787888904	21.778905112137366	7.200596685707562
5.0760000000000005	16.718990943612944	21.768840803383345	7.206775782734891
5.077	16.73249297117077	21.706264667299767	7.197739800320354
5.078	16.729325821069352	21.82407390315814	7.210368081792482
5.079	16.813802239273794	21.820851392806254	7.227983176170116
5.08	16.811148816878344	21.874808194604565	7.203753450022086
5.081	16.808198793481342	21.871519892766813	7.199951406829662
5.082	16.805148781215287	21.87803319192403	7.1958757262817485
5.083	16.84377786544859	21.874645245575344	7.185005883781795
5.0840000000000005	16.847931419589987	21.93553303587998	7.216909376992234
5.085	16.85015191334613	21.9320011863649	7.218805835311867
5.086	16.84754212076332	21.928894824909985	7.215327006274326
5.087	16.844942464829774	21.92581435597658	7.2118592351161785
5.088	16.842233936150212	21.973297093335457	7.203983705260495
5.089	16.93696997586514	21.93550576292221	7.24173527429217
5.09	16.988210005199186	21.932515341983425	7.293609495465736
5.091	17.032728906120408	21.92992749251409	7.307401680968729
5.0920000000000005	17.030306506054945	22.015741375676143	7.308132632361229
5.093	17.029153376947196	22.011356457588413	7.304048164612844
5.094	16.990595880414208	21.943067889277852	7.3494015528109715
5.095	16.97224559431417	21.936802224451785	7.369426840675467
5.096	16.969635938538925	21.93461582607284	7.366485978117207
5.097	16.967036125859742	21.932454290951963	7.36355543522047
5.098	16.96524734796259	21.95291420330887	7.337413336062233
5.099	16.962725953849592	21.950805931375694	7.334659000694495
5.1000000000000005	16.9602144550534	21.94872265255635	7.33191510634338
5.101	16.957697479455963	21.939735341833703	7.326604234912478
5.102	16.955189546627885	21.957396639877935	7.32376979410832
5.103	16.95269125769028	21.955234344096365	7.321050306158357
5.104	16.950154810104	21.94822664961254	7.32156367552033
5.105	16.948474161360146	21.938717122602156	7.317542327828549
5.106	16.945068824102126	21.974309298115795	7.329163306138434
5.107	16.94251556792502	21.972078431712387	7.3264160489104215
5.1080000000000005	16.953742572241413	21.99348601693826	7.332111701573808
5.109	16.951308717018104	21.946792035145254	7.348964797248345
5.11	16.94888475475189	21.94444128714686	7.346164778547138
5.111	16.938109272185	21.845575133174172	7.333691402645763
5.112	16.93504080225782	21.842906337323864	7.330533405569512
5.113	16.887770280727885	21.882411399784868	7.265012691688796
5.114	16.902405861839235	21.900443017399205	7.296977837681832
5.115	16.899203656260866	21.897567069959873	7.293851706763568
5.1160000000000005	16.97911204461964	21.89465901319308	7.315701791504166
5.117	16.97582017412175	21.891534854721915	7.312306168604774
5.118	16.972572183999667	21.869675283576836	7.314577615853474
5.119	16.969555772738133	21.94563614798897	7.348316683299578
5.12	16.966549163126142	21.94254188348168	7.345071045392706
